ANLN_ENSG00000011426.11	ENO1_ENSG00000074800.16	CDKN3_ENSG00000100526.20	PGK1_ENSG00000102144.15	CA9_ENSG00000107159.13	TPI1_ENSG00000111669.15	VEGFA_ENSG00000112715.25	SDC1_ENSG00000115884.11	SLC2A1_ENSG00000117394.24	P4HA1_ENSG00000122884.12	GNAI1_ENSG00000127955.17	KRT17_ENSG00000128422.17	LDHA_ENSG00000134333.14	ALDOA_ENSG00000149925.22	SLC16A1_ENSG00000155380.12	DCBLD1_ENSG00000164465.19	ANGPTL4_ENSG00000167772.12	FAM83B_ENSG00000168143.9	BNC1_ENSG00000169594.13	PGAM1_ENSG00000171314.9	FOSL1_ENSG00000175592.9	COL4A6_ENSG00000197565.16	KCTD11_ENSG00000213859.7	file_id
25.5484	991.7098	163.2565	445.0883	3.7193	1308.1863	19.44	300.2416	16.9544	72.9424	0.5497	10.2437	572.2459	2.5484	85.2869	10.1438	4.7056	0.8318	0.1149	63.3566	3.3779	0.0509	10.4803	40d8ec31-60e2-4c0b-ae9b-c5910e2cebba
30.9997	2350.9791	37.3939	453.2414	215.9122	1217.6405	26.0708	861.6571	789.0771	92.5108	8.0977	10362.1433	1635.0766	25.7417	166.983	45.7956	144.93	7.9798	75.8194	147.2373	105.5422	16.3459	95.9059	c3afcb4c-394b-4876-aa92-00500e9bf740
99.3607	1436.3923	21.0398	357.604	21.8625	705.147	44.0042	888.7312	767.2788	43.9597	14.1032	10782.3394	665.8059	5.1981	106.5542	44.9222	38.6386	66.902	230.0662	87.3782	372.694	14.1219	78.8484	cf40df1f-3037-405b-b652-ff6a6f9d9085
22.5051	1441.0964	11.2332	646.3196	18.5144	979.446	30.7238	1460.2762	545.4919	64.9642	6.8826	17137.8074	848.6208	12.891	78.6601	15.9071	358.8062	33.2929	95.0847	174.965	369.6622	7.061	155.6867	7ed2198a-102d-42e2-8cf0-d8dfbdf34632
23.1884	1116.0451	26.2639	383.4171	41.2557	672.1763	17.3464	1027.5796	303.6863	33.1641	9.6411	13543.1724	546.5372	3.678	103.031	44.5727	11.58	45.1688	80.3911	137.9006	147.7158	13.9792	40.2895	55ffd417-0e61-4fe5-9ba4-54ae15c8330a
31.627	1282.5505	19.7812	344.3983	28.2247	846.4338	5.8024	1289.3418	511.2201	48.3459	10.2691	2578.2646	378.8755	8.6051	192.384	6.4959	21.3804	37.2716	80.2367	84.9717	41.6964	70.814	33.8692	b74fe897-74ee-4c1e-87bd-4e18dd64284e
12.9905	909.2184	13.1061	479.9555	0.0287	665.5416	5.2738	951.5449	115.4801	10.3879	2.7877	102.3956	307.5566	11.4731	5.3206	2.9474	28.9807	17.9177	11.2383	129.7437	16.6849	0.0795	46.7911	7cb6720b-d3dc-4655-b942-dc6588372711
33.9105	1549.9746	47.7673	321.9733	92.6253	875.5647	12.4246	713.1278	251.9377	62.0409	4.0249	2815.828	343.3815	3.5629	11.3418	9.0798	50.2748	2.2209	10.9428	81.2733	9.6925	0.1454	28.9677	3492bb67-a7c8-4246-9689-4b36ce0efb1a
53.1345	1211.2966	43.0175	206.2123	0.3534	782.4564	18.4505	1125.5371	91.3127	21.3099	7.2693	9262.4525	627.1114	6.0397	58.176	25.5145	27.6869	18.1726	67.8999	118.875	257.061	14.4285	51.9488	b4d80398-c339-407b-94d3-57afa590e16d
35.8601	1534.9924	18.2961	313.0973	40.0399	658.8746	18.4908	1786.7073	695.7818	32.4486	12.4289	14209.8562	1162.6248	11.1597	152.4312	72.275	28.675	56.8839	153.5216	151.7319	292.462	9.7838	113.2613	a29de7d1-6d29-417a-8fad-2cb57a8f7db8
