case_id,ANLN_ENSG00000011426.11,ENO1_ENSG00000074800.16,CDKN3_ENSG00000100526.20,PGK1_ENSG00000102144.15,CA9_ENSG00000107159.13,TPI1_ENSG00000111669.15,VEGFA_ENSG00000112715.25,SDC1_ENSG00000115884.11,SLC2A1_ENSG00000117394.24,P4HA1_ENSG00000122884.12,GNAI1_ENSG00000127955.17,KRT17_ENSG00000128422.17,LDHA_ENSG00000134333.14,ALDOA_ENSG00000149925.22,SLC16A1_ENSG00000155380.12,DCBLD1_ENSG00000164465.19,ANGPTL4_ENSG00000167772.12,FAM83B_ENSG00000168143.9,BNC1_ENSG00000169594.13,PGAM1_ENSG00000171314.9,FOSL1_ENSG00000175592.9,COL4A6_ENSG00000197565.16,KCTD11_ENSG00000213859.7,CD4_ENSG00000010610.10,TBX21_ENSG00000073861.3,LAG3_ENSG00000089692.9,ICAM1_ENSG00000090339.9,IFNG_ENSG00000111537.5,STAT1_ENSG00000115415.20,GNLY_ENSG00000115523.17,IL18RAP_ENSG00000115607.9,CD274_ENSG00000120217.14,CD80_ENSG00000121594.12,IRF1_ENSG00000125347.14,CXCL9_ENSG00000138755.6,CTLA4_ENSG00000163599.17,ICOS_ENSG00000163600.13,CXCL10_ENSG00000169245.6,HLA-DQA1_ENSG00000196735.13,PDCD1LG2_ENSG00000197646.8,HLA-DRB5_ENSG00000198502.6,CD247_ENSG00000198821.11,HLA-DOA_ENSG00000204252.14,HLA-DMA_ENSG00000204257.15,HLA-DRA_ENSG00000204287.14,HLA-DPB1_ENSG00000223865.11,HLA-DPA1_ENSG00000231389.7,HLA-DQA2_ENSG00000237541.4,HLA-DMB_ENSG00000242574.9,CCL5_ENSG00000271503.6,file_id
TCGA-HD-A634,25.5484,991.7098,163.2565,445.0883,3.7193,1308.1863,19.44,300.2416,16.9544,72.9424,0.5497,10.2437,572.2459,2.5484,85.2869,10.1438,4.7056,0.8318,0.1149,63.3566,3.3779,0.0509,10.4803,2.2622,0.2698,1.7768,6.6186,0.0,22.2223,0.594,0.1592,0.9195,0.147,9.3281,0.1425,0.4045,0.0598,2.6119,4.2988,0.3236,17.1864,1.7947,0.9079,12.4284,167.2527,16.7873,13.7725,8.5277,3.1388,1.6799,40d8ec31-60e2-4c0b-ae9b-c5910e2cebba
TCGA-T2-A6WX,30.9997,2350.9791,37.3939,453.2414,215.9122,1217.6405,26.0708,861.6571,789.0771,92.5108,8.0977,10362.1433,1635.0766,25.7417,166.983,45.7956,144.93,7.9798,75.8194,147.2373,105.5422,16.3459,95.9059,45.4201,6.4282,74.2696,95.0002,19.1967,462.8651,92.9329,2.2464,46.083,2.5019,135.1588,629.2323,15.0934,8.8943,3564.537,81.6592,30.7016,761.5806,15.3316,30.843,211.0846,3903.2309,215.3773,312.0232,172.857,52.4515,378.9185,c3afcb4c-394b-4876-aa92-00500e9bf740
TCGA-CN-5355,99.3607,1436.3923,21.0398,357.604,21.8625,705.147,44.0042,888.7312,767.2788,43.9597,14.1032,10782.3394,665.8059,5.1981,106.5542,44.9222,38.6386,66.902,230.0662,87.3782,372.694,14.1219,78.8484,16.256,0.3365,1.9847,64.8462,0.0973,56.3002,33.6849,0.6552,6.7228,1.0447,12.6811,18.4485,3.1094,1.2091,18.1419,27.7533,10.2179,84.4187,2.1312,9.29,21.4513,690.8199,46.6396,42.0233,15.4283,5.3741,14.5349,cf40df1f-3037-405b-b652-ff6a6f9d9085
TCGA-BA-5557,22.5051,1441.0964,11.2332,646.3196,18.5144,979.446,30.7238,1460.2762,545.4919,64.9642,6.8826,17137.8074,848.6208,12.891,78.6601,15.9071,358.8062,33.2929,95.0847,174.965,369.6622,7.061,155.6867,66.6658,1.2163,3.8262,201.9185,1.3183,71.6359,8.8219,3.084,14.1582,5.4521,8.0657,35.9582,5.0002,3.6584,19.2783,58.7241,9.7222,367.4718,4.3211,10.7353,37.7191,1275.1514,69.7519,105.4647,47.0826,11.2333,71.6425,7ed2198a-102d-42e2-8cf0-d8dfbdf34632
TCGA-CQ-6229,23.1884,1116.0451,26.2639,383.4171,41.2557,672.1763,17.3464,1027.5796,303.6863,33.1641,9.6411,13543.1724,546.5372,3.678,103.031,44.5727,11.58,45.1688,80.3911,137.9006,147.7158,13.9792,40.2895,14.6751,1.1295,6.9799,33.2369,1.6322,299.611,42.0438,1.2079,11.8986,0.7305,12.2827,1284.8819,6.0036,3.0219,1801.3211,25.0974,14.206,241.374,2.8888,8.3866,41.1298,1500.1155,71.1522,95.5037,46.5169,11.9796,132.9866,55ffd417-0e61-4fe5-9ba4-54ae15c8330a
TCGA-CV-7263,31.627,1282.5505,19.7812,344.3983,28.2247,846.4338,5.8024,1289.3418,511.2201,48.3459,10.2691,2578.2646,378.8755,8.6051,192.384,6.4959,21.3804,37.2716,80.2367,84.9717,41.6964,70.814,33.8692,54.4075,0.8305,3.9074,42.736,0.7774,103.7857,21.3345,0.5012,3.0394,1.3262,25.6082,51.306,5.8809,5.7648,56.6737,22.6753,4.4413,307.6692,3.5251,17.5348,49.9406,1447.9853,85.4412,118.162,135.3207,16.4657,160.1777,b74fe897-74ee-4c1e-87bd-4e18dd64284e
TCGA-CV-5443,33.9105,1549.9746,47.7673,321.9733,92.6253,875.5647,12.4246,713.1278,251.9377,62.0409,4.0249,2815.828,343.3815,3.5629,11.3418,9.0798,50.2748,2.2209,10.9428,81.2733,9.6925,0.1454,28.9677,61.881,2.5129,19.3527,214.1998,9.2227,141.4995,16.5808,4.0183,316.5825,2.6362,40.2256,344.7361,7.3557,3.5341,156.5505,121.3616,5.3321,263.2524,8.4918,24.046,78.7059,2294.6541,130.5808,114.2366,39.8953,25.6089,305.5825,3492bb67-a7c8-4246-9689-4b36ce0efb1a
TCGA-F7-A620,53.1345,1211.2966,43.0175,206.2123,0.3534,782.4564,18.4505,1125.5371,91.3127,21.3099,7.2693,9262.4525,627.1114,6.0397,58.176,25.5145,27.6869,18.1726,67.8999,118.875,257.061,14.4285,51.9488,18.566,2.814,25.7141,63.5437,6.0527,337.3213,110.2278,3.7357,28.991,1.4501,92.4698,659.8018,10.5409,7.324,4540.2489,98.7646,21.7048,522.2004,10.0006,6.7409,187.6194,4460.1123,182.7125,356.5597,7.8722,44.0101,299.7181,b4d80398-c339-407b-94d3-57afa590e16d
TCGA-CQ-7063,35.8601,1534.9924,18.2961,313.0973,40.0399,658.8746,18.4908,1786.7073,695.7818,32.4486,12.4289,14209.8562,1162.6248,11.1597,152.4312,72.275,28.675,56.8839,153.5216,151.7319,292.462,9.7838,113.2613,56.641,5.1752,25.2979,78.5837,9.2463,543.4882,31.8306,2.5261,77.5426,2.6137,63.8083,917.7063,20.6216,14.056,1897.2244,149.3184,44.1455,1104.2454,7.8373,33.4741,117.2587,3749.1137,205.942,273.4825,58.559,31.0198,140.9377,a29de7d1-6d29-417a-8fad-2cb57a8f7db8
TCGA-QK-A6II,10.3248,1338.9058,8.5756,372.4672,10.1216,813.7253,24.3338,999.848,282.3057,20.6049,4.3437,28845.8251,541.8707,7.8197,75.7391,7.2966,135.6648,5.4186,22.8928,82.3247,155.9776,3.8214,105.6901,2.8436,0.2864,3.922,13.9428,1.3148,86.1451,37.8839,0.6412,10.6476,0.5231,48.3436,7.865,1.9427,0.6054,66.1709,13.1787,2.1459,180.2687,1.6774,1.2091,70.7279,1055.5788,84.3715,77.397,1.729,10.1723,115.2436,aed9e1a3-8037-40a6-9ced-64e414467718
