case_id,CD4_ENSG00000010610.10,TBX21_ENSG00000073861.3,LAG3_ENSG00000089692.9,ICAM1_ENSG00000090339.9,IFNG_ENSG00000111537.5,STAT1_ENSG00000115415.20,GNLY_ENSG00000115523.17,IL18RAP_ENSG00000115607.9,CD274_ENSG00000120217.14,CD80_ENSG00000121594.12,IRF1_ENSG00000125347.14,CXCL9_ENSG00000138755.6,CTLA4_ENSG00000163599.17,ICOS_ENSG00000163600.13,CXCL10_ENSG00000169245.6,HLA-DQA1_ENSG00000196735.13,PDCD1LG2_ENSG00000197646.8,HLA-DRB5_ENSG00000198502.6,CD247_ENSG00000198821.11,HLA-DOA_ENSG00000204252.14,HLA-DMA_ENSG00000204257.15,HLA-DRA_ENSG00000204287.14,HLA-DPB1_ENSG00000223865.11,HLA-DPA1_ENSG00000231389.7,HLA-DQA2_ENSG00000237541.4,HLA-DMB_ENSG00000242574.9,CCL5_ENSG00000271503.6,file_id
TCGA-HD-A634,2.2622,0.2698,1.7768,6.6186,0.0,22.2223,0.594,0.1592,0.9195,0.147,9.3281,0.1425,0.4045,0.0598,2.6119,4.2988,0.3236,17.1864,1.7947,0.9079,12.4284,167.2527,16.7873,13.7725,8.5277,3.1388,1.6799,40d8ec31-60e2-4c0b-ae9b-c5910e2cebba
TCGA-T2-A6WX,45.4201,6.4282,74.2696,95.0002,19.1967,462.8651,92.9329,2.2464,46.083,2.5019,135.1588,629.2323,15.0934,8.8943,3564.537,81.6592,30.7016,761.5806,15.3316,30.843,211.0846,3903.2309,215.3773,312.0232,172.857,52.4515,378.9185,c3afcb4c-394b-4876-aa92-00500e9bf740
TCGA-CN-5355,16.256,0.3365,1.9847,64.8462,0.0973,56.3002,33.6849,0.6552,6.7228,1.0447,12.6811,18.4485,3.1094,1.2091,18.1419,27.7533,10.2179,84.4187,2.1312,9.29,21.4513,690.8199,46.6396,42.0233,15.4283,5.3741,14.5349,cf40df1f-3037-405b-b652-ff6a6f9d9085
TCGA-BA-5557,66.6658,1.2163,3.8262,201.9185,1.3183,71.6359,8.8219,3.084,14.1582,5.4521,8.0657,35.9582,5.0002,3.6584,19.2783,58.7241,9.7222,367.4718,4.3211,10.7353,37.7191,1275.1514,69.7519,105.4647,47.0826,11.2333,71.6425,7ed2198a-102d-42e2-8cf0-d8dfbdf34632
TCGA-CQ-6229,14.6751,1.1295,6.9799,33.2369,1.6322,299.611,42.0438,1.2079,11.8986,0.7305,12.2827,1284.8819,6.0036,3.0219,1801.3211,25.0974,14.206,241.374,2.8888,8.3866,41.1298,1500.1155,71.1522,95.5037,46.5169,11.9796,132.9866,55ffd417-0e61-4fe5-9ba4-54ae15c8330a
TCGA-CV-7263,54.4075,0.8305,3.9074,42.736,0.7774,103.7857,21.3345,0.5012,3.0394,1.3262,25.6082,51.306,5.8809,5.7648,56.6737,22.6753,4.4413,307.6692,3.5251,17.5348,49.9406,1447.9853,85.4412,118.162,135.3207,16.4657,160.1777,b74fe897-74ee-4c1e-87bd-4e18dd64284e
TCGA-CV-5443,61.881,2.5129,19.3527,214.1998,9.2227,141.4995,16.5808,4.0183,316.5825,2.6362,40.2256,344.7361,7.3557,3.5341,156.5505,121.3616,5.3321,263.2524,8.4918,24.046,78.7059,2294.6541,130.5808,114.2366,39.8953,25.6089,305.5825,3492bb67-a7c8-4246-9689-4b36ce0efb1a
TCGA-F7-A620,18.566,2.814,25.7141,63.5437,6.0527,337.3213,110.2278,3.7357,28.991,1.4501,92.4698,659.8018,10.5409,7.324,4540.2489,98.7646,21.7048,522.2004,10.0006,6.7409,187.6194,4460.1123,182.7125,356.5597,7.8722,44.0101,299.7181,b4d80398-c339-407b-94d3-57afa590e16d
TCGA-CQ-7063,56.641,5.1752,25.2979,78.5837,9.2463,543.4882,31.8306,2.5261,77.5426,2.6137,63.8083,917.7063,20.6216,14.056,1897.2244,149.3184,44.1455,1104.2454,7.8373,33.4741,117.2587,3749.1137,205.942,273.4825,58.559,31.0198,140.9377,a29de7d1-6d29-417a-8fad-2cb57a8f7db8
TCGA-QK-A6II,2.8436,0.2864,3.922,13.9428,1.3148,86.1451,37.8839,0.6412,10.6476,0.5231,48.3436,7.865,1.9427,0.6054,66.1709,13.1787,2.1459,180.2687,1.6774,1.2091,70.7279,1055.5788,84.3715,77.397,1.729,10.1723,115.2436,aed9e1a3-8037-40a6-9ced-64e414467718
TCGA-CQ-A4CI,8.8073,1.6017,3.3771,15.5865,0.1894,36.7055,3.0358,0.1031,19.2978,0.1666,13.7797,2.7688,1.7504,1.1046,5.5953,6.1642,3.5206,25.8696,2.5204,2.5693,18.2623,214.4693,18.4749,12.6481,9.9098,3.1321,26.0093,bdc3e015-b191-47d1-b419-ba19f694215e
TCGA-CQ-A4CE,6.8585,1.2149,3.5482,18.6994,2.8969,115.7846,5.3729,1.5412,12.5897,0.4632,23.4538,100.5703,3.7257,1.8392,188.0508,20.2483,1.6611,185.6976,2.6353,5.9326,27.062,740.9892,31.5441,44.7293,2.8436,6.6716,50.9552,0295ea9f-3c48-400e-8004-05ca911f460d
TCGA-CN-6011,17.6886,1.7141,21.0825,72.4658,1.4229,282.6806,53.5688,0.7746,41.0848,2.8604,18.7083,20.9426,1.9236,0.8008,248.3344,14.1033,24.5236,132.4939,4.4852,3.3135,15.3476,364.3841,19.6158,32.1773,3.0204,4.8562,472.3404,e4a520c9-91a8-46ec-89a5-1707d24c125d
TCGA-IQ-A61J,27.9359,0.8086,3.9235,28.868,1.7055,201.1063,16.3242,0.5609,10.5439,0.8214,33.7375,127.2488,7.5064,3.7083,131.2431,55.1779,5.1425,188.6326,5.6886,20.3896,43.0275,1524.7326,118.2117,142.6465,69.4106,17.946,56.4515,9826930c-b7bd-49ba-b824-1f940e207f4b
TCGA-CX-7219,58.4637,1.3233,10.23,104.2091,0.565,289.6492,10.6921,1.9697,11.0182,3.5218,29.8478,206.8647,11.4608,9.9859,279.1019,36.4511,10.3444,244.6717,4.175,21.9264,55.0748,1889.7295,100.0012,67.2814,77.1779,18.3119,79.9123,34b7ac84-d020-4841-98d5-fc86aa7798de
TCGA-CV-6933,3.7626,0.2819,0.7053,4.8888,0.1063,25.6956,0.1267,0.0651,1.3861,0.02,3.408,4.0313,0.0451,0.0489,11.9367,6.5525,0.6481,44.1872,0.6539,4.9863,33.3178,377.4677,21.3885,25.0109,7.1928,3.1939,28.0486,b6a38e2a-0044-4d7c-a223-1bf169d4e088
TCGA-CN-5359,112.5168,3.7735,17.7736,117.9737,1.528,249.6704,32.5622,5.1196,11.6057,5.8101,29.1718,188.1915,11.826,12.4164,133.8163,149.6513,14.5014,364.4306,13.8829,40.4878,70.4935,3330.5201,154.7395,328.9179,2.1277,28.7522,195.4076,530aeb2b-2b87-4894-9853-8120649ccbf8
TCGA-CN-6997,17.3679,0.5933,1.3899,65.2898,0.0779,69.9468,13.6612,0.3501,1.5854,0.9695,10.3879,21.8966,1.7643,0.9152,8.9168,30.2038,1.7853,51.5367,1.9187,7.3982,18.7281,533.1037,34.7047,55.5943,26.5106,6.9058,16.0884,5bd3d1ea-675e-4e41-96b3-d2da8a644879
TCGA-BA-4074,5.5562,0.0348,0.7029,37.578,0.1132,55.0779,1.5599,0.6934,3.549,1.266,13.55,5.9923,2.2852,2.4676,144.1891,5.81,14.395,49.5424,0.9177,1.6621,28.0024,956.3532,25.1009,22.2871,20.7201,12.3943,702.6239,524b91bd-e61c-475a-9217-3ccd76688a0d
TCGA-CR-7392,47.9607,2.3518,15.5473,74.9194,2.449,354.3862,12.8917,1.4284,14.6304,3.6733,34.4648,226.9318,10.5778,12.7034,315.453,107.456,16.1019,205.3505,8.6422,18.824,75.1283,2364.7221,114.5948,162.633,46.1205,18.6837,142.6929,c5976308-8c60-4f51-8e86-3b586f137f23
TCGA-HD-7753,16.9648,0.5957,5.3729,85.9436,0.5246,136.5093,14.5304,0.7744,12.7879,1.4449,16.9322,60.0182,9.02,6.8192,146.9772,16.9826,9.6851,34.051,3.828,4.7924,17.1618,494.5688,32.3694,19.2648,24.9701,4.1526,424.5845,15b120ca-b99c-43f9-b836-529583c50fe9
TCGA-CN-6020,23.2107,0.3492,5.0587,57.3116,0.3532,163.3985,18.4896,1.1331,7.5116,1.6165,16.474,29.1467,4.3972,3.4153,231.8312,34.1607,5.2763,76.3067,2.9992,7.1572,34.2619,1208.5234,51.509,66.1854,23.9722,8.8616,66.5255,2448d8d4-198b-42b9-a822-f4fb071de2e7
TCGA-CN-5369,42.268,2.7,11.5204,71.676,5.5849,316.6676,29.2661,4.623,31.6758,1.5571,71.5229,383.2932,8.1392,4.7381,1139.0585,90.4002,16.2286,192.8191,7.625,29.4652,93.2179,2193.465,117.7528,203.8402,55.6651,22.1026,239.3769,ec391e89-3ffa-4e8f-ba46-7ea7a95dcd7b
TCGA-CV-7099,34.3729,0.869,15.0245,48.3631,2.4633,257.7527,25.262,1.6171,30.2418,1.3289,47.1427,242.2234,7.7076,5.8935,1254.0332,28.2977,18.7111,168.733,5.1908,7.5552,65.1285,1412.3257,27.6323,118.7208,30.1277,14.1249,159.0828,a162c257-2c4e-479a-bdff-1361ffc1a7fd
TCGA-BB-4227,8.981,0.0773,0.8412,16.1467,0.391,2.6796,2.4865,0.5474,3.277,1.0317,8.2885,1.3966,1.3593,1.1317,2.4756,7.3122,3.8385,44.2684,0.8552,2.9183,17.6366,379.2378,20.1309,20.7484,17.9557,5.2792,19.7662,53a868c3-12fe-429b-910a-04321ff14d9a
TCGA-CV-A45Q,3.7076,0.0373,3.2691,3.0963,0.0809,35.3533,34.1054,0.3467,9.7038,0.4877,13.9399,14.8283,0.5263,0.54,29.0082,4.2832,9.4441,88.8161,0.6191,1.8179,18.0731,120.541,26.0804,6.4581,1.4779,2.1975,41.0335,c778256b-62cc-4642-886f-f2950526f374
TCGA-CN-6994,34.1517,0.5713,3.8167,49.6546,0.344,159.566,6.4529,0.3371,5.1513,1.4262,24.7112,17.5619,4.2435,2.756,19.3571,28.2392,4.6932,123.5704,3.8621,10.1138,57.0961,1168.8654,67.375,43.7004,27.9997,13.1662,53.0782,f8eaf87f-8ab3-4d10-954e-eb4e4a4e0b82
TCGA-BA-5559,127.8621,10.784,57.9176,346.2662,20.4247,473.7867,18.7816,10.4003,28.6628,4.6394,100.6972,903.9201,25.0938,14.1786,787.3129,267.1313,19.142,410.5713,16.3312,78.9504,167.2505,5290.5559,310.7583,234.561,161.6149,59.8573,379.2306,1a225cd0-4aff-4a21-a38f-4c7219da6daf
TCGA-CV-7421,12.3934,0.3674,4.6349,56.6729,0.1493,61.9335,8.6643,0.0813,6.6466,0.8254,9.7099,6.7674,1.4646,1.3063,28.0594,11.1563,4.7833,66.6871,1.4344,4.1271,41.4503,688.8863,44.7611,21.9893,27.5739,8.1402,161.9635,29b722ad-3c3a-493a-96d2-daeb00763881
TCGA-DQ-7593,72.7473,3.6889,11.1853,162.3113,2.7587,76.4311,14.444,4.032,12.7406,1.6727,36.8572,116.0529,29.4347,16.5685,299.0301,119.1039,3.2849,919.9183,24.5564,64.4707,119.1974,3688.3524,198.3307,229.5331,140.4019,44.7223,266.3083,df5d5bb6-d9cc-43bd-b03c-9721060f1ad7
TCGA-CN-6024,6.3322,0.3613,0.9753,65.6155,0.1119,60.4435,5.3576,0.1142,17.1322,0.506,15.1446,7.5809,1.1079,0.7469,10.0885,6.6724,2.5903,28.5038,0.5205,2.1577,16.6655,214.5375,16.6814,13.9293,9.5706,2.5256,11.2067,ecffbb22-a57d-4250-937c-d8a73a93d97e
TCGA-BA-A4IG,18.5633,1.2414,4.8093,37.3795,1.7573,139.488,7.7046,0.8745,5.0995,1.6145,23.9151,73.1037,6.9922,3.5907,105.8403,20.5319,2.8713,99.4898,4.4677,14.0114,28.792,873.1043,46.8023,71.2129,39.1817,9.5438,64.9511,de34e402-4e33-4beb-8c84-34f6b0288d9e
TCGA-HD-7917,3.6312,0.1414,2.447,23.2418,0.6131,134.1159,5.4655,0.447,13.4914,0.2476,15.0694,82.6181,1.4126,1.1696,188.7637,3.8219,10.0969,85.7065,0.9072,1.9421,29.191,529.8077,16.047,47.011,21.3891,5.0472,61.1738,1ba64243-b3c1-4b6b-9899-64944a3da9ab
TCGA-CV-6945,3.9029,0.1085,1.8112,9.4076,0.1344,53.2924,1.6696,0.1647,0.8917,0.1773,6.9437,2.1964,0.8178,0.4333,5.2303,3.7311,1.6066,19.2101,0.3531,0.9596,6.9447,139.6341,10.6152,11.5485,10.44,1.4734,36.4909,25a938ba-21c3-4053-b5e0-f1bbb2eca3df
TCGA-CQ-7071,17.6226,0.6387,6.7478,27.1156,4.061,169.1349,12.8569,0.5653,9.9852,1.2523,19.2054,203.0746,5.719,4.4198,345.057,64.028,5.9745,717.4227,3.6296,20.6466,50.673,2001.7787,78.6899,153.0504,12.6104,12.6597,68.4482,7cf94274-b64d-4b56-8cd6-19029fe52031
TCGA-D6-A4ZB,7.1828,0.4608,4.0515,25.3837,0.3526,76.6704,5.2778,3.6226,2.5116,0.4872,14.5827,9.0976,3.7574,1.3528,29.4923,8.6737,1.7263,27.7228,2.3284,2.6949,28.604,252.1956,23.6963,21.9364,7.5159,4.3345,29.716,9eda745e-b182-4611-a4a6-242db8a07337
TCGA-CN-A6V1,98.8969,13.1974,39.0011,20.9651,9.966,118.6137,67.5607,4.4275,8.4483,1.9462,90.0284,220.3252,20.6884,12.031,339.8585,284.3361,6.2738,862.3508,33.1575,176.3839,447.1832,6683.0552,780.1019,762.5115,133.0857,142.0236,487.246,ae941efc-1bb6-441b-aea2-694b1aa4081a
TCGA-CV-5976,14.6284,0.3355,3.2423,60.2035,0.1364,167.2535,15.6812,0.1114,4.757,1.3192,27.028,63.3009,2.1093,2.3233,123.7266,15.3632,2.9651,105.5579,1.8831,6.8481,26.606,689.8116,36.5574,40.3658,16.6122,7.2553,46.7109,4f74695e-ef5a-49c1-a813-6d65f223d7e5
TCGA-CN-4742,25.1053,0.1833,4.1214,50.2902,0.1083,198.9642,10.7359,0.3981,4.6841,1.3475,9.5922,17.0433,2.4319,2.6772,40.9414,39.2661,4.9092,49.0857,2.1899,7.0859,23.3589,710.377,51.9568,73.9532,17.7571,9.1011,147.8864,10d2df0b-08ca-4eff-9e42-b23620a214fe
TCGA-CN-A6V6,45.6117,3.2497,34.0447,98.1875,6.4781,305.2109,18.1725,7.7294,18.9113,1.446,74.3332,362.4772,25.3051,5.8788,1037.2611,58.0721,5.8877,553.8671,11.9892,18.7211,89.8256,2088.7642,108.3832,151.5204,14.3135,27.6721,236.267,7ad79b6a-5f2b-4315-ae69-25439113193f
TCGA-QK-AA3J,7.014,1.0992,6.0284,36.5164,1.9704,99.9515,6.2648,1.927,2.3639,0.19,47.7143,18.3495,4.1748,2.0466,29.0441,15.4871,0.9583,40.2641,4.8558,3.0341,25.4553,486.0791,20.5832,27.4171,12.9402,5.0282,76.8134,3934d67f-58f0-432d-8c12-72346d31a753
TCGA-DQ-7595,9.5063,0.1763,1.779,68.8916,0.0955,88.9287,1.1389,0.351,1.422,0.126,14.7828,4.9856,1.4594,1.4075,7.2851,32.4521,1.3556,109.1045,10.194,26.0102,65.7097,1191.1996,44.757,130.5367,9.5602,16.2993,36.8477,d1ba03b4-c63c-4be6-a723-6d87749e4b61
TCGA-CN-6022,87.2489,0.7885,8.5719,237.4132,0.1068,91.4535,25.0062,0.9813,6.8019,3.9054,11.1017,30.8294,10.3671,6.837,25.487,77.3952,4.3617,240.5609,3.0785,23.8315,72.2269,2036.3542,112.5659,171.0531,22.4032,21.3686,44.8753,d33b5123-4cc3-4731-84ea-88ca8ad90943
TCGA-UF-A7JK,4.1046,0.0614,0.2638,9.0492,0.0,58.6157,0.6615,0.0544,2.7084,0.2509,5.67,4.4094,0.1884,0.1839,6.7244,4.3574,2.3206,25.7353,0.1999,1.2538,5.5669,112.0576,8.7541,9.7905,9.2901,1.7827,2.8506,e0b6e092-202f-45a0-a8f9-1de9f04fb04e
TCGA-CN-5356,20.4428,0.4604,1.3921,31.8971,0.2395,51.9357,7.8219,0.9128,2.6596,0.3762,6.0724,9.1399,2.4172,1.4338,7.8995,18.6195,4.075,80.4821,3.8828,9.8578,20.028,609.9662,38.3822,64.4999,28.3827,6.2355,42.7318,a1157282-ef7c-48bf-8bbf-79f51799b7d4
TCGA-CQ-5323,21.8003,1.8022,6.2201,85.4882,2.2018,242.621,6.6337,0.754,8.9613,0.4551,45.8812,112.9902,3.5771,3.6629,301.3717,32.9528,3.2184,236.43,4.0938,11.5632,63.8606,1951.451,78.8307,101.0358,26.6649,14.9911,79.8725,aea89671-83a4-47b7-a924-07e23f3019e9
TCGA-CV-7425,23.7944,1.5267,6.3353,20.021,3.9153,278.7075,10.8741,0.5709,44.0377,0.9311,35.5304,202.4953,6.3831,6.9537,953.5155,57.5277,24.4163,423.7905,4.0998,15.4739,39.2876,1498.8377,100.4491,136.802,29.5776,10.572,176.1888,2399c612-2197-4e5b-8b3a-7c9927da9ea6
TCGA-D6-6515,180.9437,4.1476,33.4234,179.1829,3.7937,718.059,49.6532,1.3792,46.3119,3.4082,81.0099,458.9551,11.087,10.9596,3017.7232,365.2967,63.8655,520.6904,16.6461,85.2379,164.5273,6197.5273,473.3665,557.6246,273.7066,59.4414,608.0956,c87e7072-34b2-4aab-bfb8-0fd61d926fb0
TCGA-CV-7253,37.6296,0.0675,0.8262,25.2967,0.0732,45.2956,3.9689,0.0,1.5528,0.1517,6.6407,0.6899,0.4554,0.2695,0.8294,4.0739,0.9289,38.0255,1.0652,1.6555,19.3892,277.1837,11.4944,24.1374,4.4055,1.7861,4.876,5707cde1-035e-4661-b85d-c459e98297c2
TCGA-CN-5360,94.7516,3.5832,15.614,104.0208,2.9481,330.2628,17.2375,4.0509,26.607,2.8847,40.1984,472.5165,14.1164,7.1528,175.9953,144.1366,20.693,565.2384,12.1349,61.7516,102.168,3418.7153,165.9493,376.4303,160.529,31.8057,169.833,0d765c4d-33a1-41db-bfcf-2119c521dd45
TCGA-MT-A7BN,27.1813,2.337,17.86,16.1173,1.7134,34.5162,19.3931,1.7946,2.262,1.1793,14.2432,50.2864,11.9303,1.8523,29.5598,58.4307,4.0063,290.0591,5.8593,14.2778,130.7401,1714.0114,228.8371,146.6542,186.5556,29.9608,150.3382,465b74a3-2a01-425e-8c1f-45c8ee19f51c
TCGA-CN-4734,33.448,1.891,19.1208,141.9444,2.5841,423.5482,36.991,1.6372,25.0598,2.7372,21.31,365.0794,12.2785,8.2676,921.7323,65.9483,33.4999,315.3552,6.0054,11.7599,47.1462,2257.4287,86.3153,193.845,110.9072,14.1174,265.239,6a299d04-3ed3-432e-b6e5-4e4f4d3dfb6d
TCGA-CN-A641,7.0105,0.0831,1.471,16.5181,0.0721,24.1846,0.6589,0.5739,1.4874,0.1902,5.1398,6.5125,1.3664,0.9127,5.72,10.5066,0.969,83.8646,1.0602,2.4082,12.66,283.4698,17.2918,23.826,6.9745,3.1505,11.5877,a4696acf-2913-4bc7-a20a-7851025c8462
TCGA-CV-7252,21.1999,0.1571,2.9878,77.4268,0.2432,116.7835,13.0884,0.3575,8.9049,1.5401,14.2838,81.8429,3.8262,2.5534,150.2511,25.367,14.4846,108.625,4.1472,13.1644,33.3808,1086.8484,64.0286,59.8501,26.5446,9.1432,111.9199,f67853ac-b2db-4782-96f3-1d0338fac60d
TCGA-CN-5365,27.7577,0.9965,10.6994,23.2875,2.9315,142.1201,10.8996,0.7717,13.1444,1.0467,33.8227,63.3746,3.5578,2.1846,247.9427,24.5191,15.1924,158.4417,2.4432,7.2051,46.1358,1173.5799,76.2465,109.2266,72.9489,9.4879,135.8933,1878cff8-f627-4ea6-bf0e-13161fcd4564
TCGA-CQ-6224,72.3688,0.6851,18.4674,79.8296,0.7862,262.3131,33.3117,0.1962,7.5064,2.5516,31.5396,76.628,6.5251,8.6076,483.0996,68.2231,14.441,809.7625,4.1957,23.2557,59.9028,2054.7279,148.0523,141.6079,108.1792,17.4856,621.3013,bf7e3880-e49d-412a-99bb-0f17456bd692
TCGA-CR-6487,105.9045,7.6934,67.8851,120.6362,23.0108,333.3176,27.1091,3.0684,38.3793,5.4762,49.2715,688.2994,30.4578,20.1363,350.7575,225.9559,23.1656,971.6971,22.6786,62.8813,152.954,3746.3983,205.9986,280.5933,2.9427,58.6696,664.4608,4dafb507-f3cc-4f37-9c69-7ba0f3df1ee8
TCGA-QK-A64Z,12.5589,0.6236,4.6767,37.8347,1.0398,276.7423,16.9851,0.8916,8.5367,0.3919,35.4466,101.2475,3.0009,1.173,260.4686,5.8176,6.1614,87.4394,2.8718,3.4741,19.8375,627.7316,39.3895,35.1715,23.0164,6.251,73.5028,524edfcc-daef-49b0-88a7-28832e4adf10
